"","condition","ID","block","Pr_corr_sub"
"2494",4,"240",4,0.814814814814815
"2495",4,"240",5,0.555555555555556
"2496",4,"240",6,0.62962962962963
"2497",4,"240",7,0.925925925925926
"2498",4,"240",8,0.888888888888889
"2499",4,"240",9,0.925925925925926
"2500",4,"240",10,0.962962962962963
"2501",4,"244",1,0.740740740740741
"2502",4,"244",2,0.62962962962963
"2503",4,"244",3,0.62962962962963
"2504",4,"244",4,0.740740740740741
"2505",4,"244",5,0.814814814814815
"2506",4,"244",6,0.740740740740741
"2507",4,"244",7,0.703703703703704
"2508",4,"244",8,0.62962962962963
"2509",4,"244",9,0.666666666666667
"2510",4,"244",10,0.777777777777778
"2511",4,"252",1,0.592592592592593
"2512",4,"252",2,0.740740740740741
"2513",4,"252",3,0.851851851851852
"2514",4,"252",4,0.814814814814815
"2515",4,"252",5,0.62962962962963
"2516",4,"252",6,0.740740740740741
"2517",4,"252",7,0.666666666666667
"2518",4,"252",8,0.740740740740741
"2519",4,"252",9,0.851851851851852
"2520",4,"252",10,0.777777777777778
"2521",4,"256",1,0.592592592592593
"2522",4,"256",2,0.62962962962963
"2523",4,"256",3,0.666666666666667
"2524",4,"256",4,0.592592592592593
"2525",4,"256",5,0.703703703703704
"2526",4,"256",6,0.666666666666667
"2527",4,"256",7,0.62962962962963
"2528",4,"256",8,0.740740740740741
"2529",4,"256",9,0.666666666666667
"2530",4,"256",10,0.851851851851852
"2531",4,"260",1,0.62962962962963
"2532",4,"260",2,0.518518518518518
"2533",4,"260",3,0.666666666666667
"2534",4,"260",4,0.592592592592593
"2535",4,"260",5,0.518518518518518
"2536",4,"260",6,0.62962962962963
"2537",4,"260",7,0.740740740740741
"2538",4,"260",8,0.518518518518518
"2539",4,"260",9,0.814814814814815
"2540",4,"260",10,0.740740740740741
"2541",4,"264",1,0.148148148148148
"2542",4,"264",2,0.259259259259259
"2543",4,"264",3,0.444444444444444
"2544",4,"264",4,0.333333333333333
"2545",4,"264",5,0.481481481481481
"2546",4,"264",6,0.555555555555556
"2547",4,"264",7,0.333333333333333
"2548",4,"264",8,0.555555555555556
"2549",4,"264",9,0.666666666666667
"2550",4,"264",10,0.407407407407407
"2551",4,"268",1,0.703703703703704
"2552",4,"268",2,0.518518518518518
"2553",4,"268",3,0.740740740740741
"2554",4,"268",4,0.851851851851852
"2555",4,"268",5,0.592592592592593
"2556",4,"268",6,0.851851851851852
"2557",4,"268",7,0.62962962962963
"2558",4,"268",8,0.814814814814815
"2559",4,"268",9,0.703703703703704
"2560",4,"268",10,0.740740740740741
"2561",4,"272",1,0.518518518518518
"2562",4,"272",2,0.703703703703704
"2563",4,"272",3,0.703703703703704
"2564",4,"272",4,0.814814814814815
"2565",4,"272",5,0.740740740740741
"2566",4,"272",6,0.740740740740741
"2567",4,"272",7,0.814814814814815
"2568",4,"272",8,0.851851851851852
"2569",4,"272",9,0.777777777777778
"2570",4,"272",10,0.925925925925926
"2571",4,"276",1,0.555555555555556
"2572",4,"276",2,0.814814814814815
"2573",4,"276",3,0.777777777777778
"2574",4,"276",4,0.740740740740741
"2575",4,"276",5,0.666666666666667
"2576",4,"276",6,0.703703703703704
"2577",4,"276",7,0.740740740740741
"2578",4,"276",8,0.740740740740741
"2579",4,"276",9,0.555555555555556
"2580",4,"276",10,0.518518518518518
"2581",4,"28",1,0.333333333333333
"2582",4,"28",2,0.555555555555556
"2583",4,"28",3,0.481481481481481
"2584",4,"28",4,0.555555555555556
"2585",4,"28",5,0.592592592592593
"2586",4,"28",6,0.518518518518518
"2587",4,"28",7,0.592592592592593
"2588",4,"28",8,0.703703703703704
"2589",4,"28",9,0.592592592592593
"2590",4,"28",10,0.481481481481481
"2591",4,"281",1,0.481481481481481
"2592",4,"281",2,0.851851851851852
"2593",4,"281",3,0.777777777777778
"2594",4,"281",4,0.703703703703704
"2595",4,"281",5,0.62962962962963
"2596",4,"281",6,0.814814814814815
"2597",4,"281",7,0.814814814814815
"2598",4,"281",8,0.814814814814815
"2599",4,"281",9,0.851851851851852
"2600",4,"281",10,0.703703703703704
"2601",4,"285",1,0.37037037037037
"2602",4,"285",2,0.518518518518518
"2603",4,"285",3,0.703703703703704
"2604",4,"285",4,0.777777777777778
"2605",4,"285",5,0.555555555555556
"2606",4,"285",6,0.777777777777778
"2607",4,"285",7,0.62962962962963
"2608",4,"285",8,0.814814814814815
"2609",4,"285",9,0.740740740740741
"2610",4,"285",10,0.666666666666667
"2611",4,"289",1,0.62962962962963
"2612",4,"289",2,0.703703703703704
"2613",4,"289",3,0.740740740740741
"2614",4,"289",4,0.814814814814815
"2615",4,"289",5,0.740740740740741
"2616",4,"289",6,0.888888888888889
"2617",4,"289",7,0.925925925925926
"2618",4,"289",8,0.925925925925926
"2619",4,"289",9,0.888888888888889
"2620",4,"289",10,0.777777777777778
"2621",4,"293",1,0.555555555555556
"2622",4,"293",2,0.740740740740741
"2623",4,"293",3,0.555555555555556
"2624",4,"293",4,0.555555555555556
"2625",4,"293",5,0.777777777777778
"2626",4,"293",6,0.703703703703704
"2627",4,"293",7,0.666666666666667
"2628",4,"293",8,0.888888888888889
"2629",4,"293",9,0.62962962962963
"2630",4,"293",10,0.814814814814815
"2631",4,"297",1,0.481481481481481
"2632",4,"297",2,0.62962962962963
"2633",4,"297",3,0.592592592592593
"2634",4,"297",4,0.185185185185185
"2635",4,"297",5,0.444444444444444
"2636",4,"297",6,0.740740740740741
"2637",4,"297",7,0.740740740740741
"2638",4,"297",8,0.777777777777778
